0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
../images/12419/上衣/57f7cdbff90a8310f062b162.jpg,#9999cc,0.8520104786061791,0.11164705393155641,0.0172148530084411,0.0,1,0.026596242909923504,1,-100,-100,-100,-100,0.27920452381199257,0.27626233147141521,0.28325448673531028,0.27600845643463801,0.60614547636510729,0.59968349593021275,0.63221333117411715,0.60080315114768557,5.0010068846815789,5.3101134477033742,3.5387387387387381,5.3023830935251777
../images/12941/上衣/57f7cdbbf90a8310f062b159.jpg,#333333,0.9731736749280608,0.01763668430335097,0.006451313468857328,0.0,1,0.0026580155418463344,0,-100,-100,-100,-100,0.34256016721792515,0.3387120041400814,0.34649980936995095,0.33876687684187767,0.67798478623277181,0.67774628829635419,0.7046488158749219,0.67030126920926281,5.6709552495697109,6.2421226480354166,4.2502616902616905,6.3187863171001641
../images/13859/上衣/57f7cdb4f90a8310f062b145.jpg,#663333,0.8665119803011648,0.11492565583862108,0.013921772895160526,0,0,0.02595625177741966,1,-100,-100,-100,-100,0.34363134302948206,0.3407384331936309,0.34871854505728367,0.34067704981771191,0.68960028032714504,0.68742675698624189,0.72870193802970806,0.68882053476044347,5.9235197934595538,6.263394092418368,3.8537451737451747,6.2162510376314346
../images/13883/上衣/57f7cdb0f90a8310f062b13d.jpg,#ffffff,0.5048147929343653,0.37301352868198734,0.043421752230164826,0.0625,12,0.04216525057763145,3,-100,-100,-100,-100,0.0058477046556029838,0.0049248774229231195,0.0057565986100091577,0.0058665204754574036,0.44815124843755605,0.42211424024036753,0.49999701890437415,0.48088373214044339,12.650137693631667,13.082396582733805,7.89383955383955,11.265201300498063
../images/13947/上衣/57f7cdb0f90a8310f062b13b.jpg,#333333,0.8414966336023025,0.08387726782134965,0.06604306933237396,0.25,5,0.05447273148177919,4,0.0,0.0,1.1530810286162758,12.165525060596439,0.38975326149384854,0.38585442204148979,0.39303329614777471,0.38567816211085176,0.74573524914194667,0.7389086395469382,0.76746478507905169,0.7395420047789486,7.3541308089500879,8.7227102933038232,7.6736336336336297,8.7559404399557241
../images/14243/上衣/57f7cdadf90a8310f062b137.jpg,#ffffff,0.4173942818010615,0.4046824173942818,0.15652285567539806,0.25,10,0.07826897028038483,7,-100,-100,-100,-100,0.30874914702453787,0.30605676726435671,0.31463342826187107,0.30557649294516137,0.65115638445493706,0.64933467920174226,0.68548790316996877,0.64802240222618546,6.0402753872633399,6.3368367805755401,4.2280008580008577,6.3471179786939675
../images/14611/上衣/57f7cda9f90a8310f062b129.jpg,#9999cc,0.91121682123441,0.04557083466581388,0.01566997121842021,0.1875,8,0.14528525495176994,2,-100,-100,-100,-100,0.28473097714190926,0.28069947445146565,0.28785384234206618,0.2809635984067772,0.62191563139751804,0.6133904363473226,0.63609602924269248,0.61270516983421852,5.4773666092943181,6.6084238378527962,5.597546117546119,6.7441806170448251
../images/14955/上衣/57f7cda7f90a8310f062b121.jpg,#333333,0.9073188672305995,0.08593845776633566,0.006701810306076581,0.125,2,0.20564919807947696,5,-100,-100,-100,-100,0.28507223242613916,0.28190694773382013,0.2895820036712573,0.28177614048907468,0.57658582895676491,0.57376404138963188,0.62065684738896254,0.57475439505755099,12.933820998278822,12.948550774764797,7.958807378807375,13.00344147758716
../images/16267/上衣/57f7cda2f90a8310f062b118.jpg,#cccccc,0.441974284529241,0.2970551638324347,0.23940273745333887,0,0,0.02847838712353771,2,-100,-100,-100,-100,0.30299783967749527,0.2990724946435937,0.30606473276917295,0.29928208619122432,0.63223568731667723,0.62848361401276398,0.66842347075191522,0.62991745097433072,4.5522547332185876,4.9467868013281704,3.3568511368511369,4.8541781959048134
../images/16267/上衣/57f7cda3f90a8310f062b119.jpg,#cccccc,0.7706309187061862,0.15340466527282418,0.031156479317837084,0,0,0.13551440160609662,7,-100,-100,-100,-100,0.29643101592193705,0.29332280464287824,0.30032055069410274,0.29306162332041191,0.58462061512017394,0.58063183558797038,0.58918734409096052,0.58198036405639952,10.856583476764206,11.481729039845044,10.652243672243674,11.1669030160487
../images/16267/上衣/57f7cda3f90a8310f062b11a.jpg,#ffcccc,0.3141019297377536,0.25962394854032655,0.22350321622958932,0.25,3,0.11246689602257258,4,-100,-100,-100,-100,0.011966271818278772,0.011972743695774139,0.01466833663043444,0.011350262671511617,0.46194077195917066,0.45654409889603886,0.51074441591598008,0.45244520103575342,11.280219449225468,12.22339772412839,8.6626169026169109,12.201503700885445
../images/16783/上衣/57f7cd99f90a8310f062b0ff.jpg,#333333,0.6890145041847421,0.19096446255641733,0.07081197142982341,0.1736111111111111,108,0.2712191484929224,0,-100,-100,-100,-100,0.31761767679582359,0.31296313562711769,0.32005795897938749,0.31314466952773329,0.6107141446226042,0.60639685467292515,0.62009056007788432,0.60586111205672855,22.272078313252997,23.035547523519625,20.362007722007711,23.998841311566128
